title,mission,env,all_steps,num_planned_steps,num_steps_completed,max_steps,failed_step,success_conds,passing_conds,success_rate,failed_conds,prompt_difficulty,final_output,plan
Broom in cabinet,Place the broom inside the cabinet.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,True,2,2,3,,1,1,1.0,[],1,Success,"['Pick up the broom_0', 'Place at the cabinet_0']"
Broom in cabinet,Place the sweeping tool into the cabinet.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,True,2,2,3,,1,1,1.0,[],2,Success,"['Pick up the broom next to the blender', 'Place at the cabinet at the same location as the soap']"
Broom in cabinet,Put the sweeping tool away.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,True,2,2,3,,1,1,1.0,[],3,Success,"['Pick up the broom next to the blender', 'Place at the cabinet at the same location as the soap']"
Cleaning tools on countertop,"Place broom, rag, bin, and dustpan on the countertop.",MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,False,5,2,9,Pick up the rag on top of the cabinet,4,0,0.0,"['Broom at countertop', 'Rag at countertop', 'Bin at countertop', 'Dustpan at countertop']",1,Failed parsing,"['Pick up the broom next to the blender', 'Pick up the rag on top of the cabinet', 'Pick up the bin next to the electric_refrigerator_0', 'Pick up the dustpan inside the cabinet', 'Place at the countertop_0']"
Cleaning tools on countertop,Place all utensils for sweeping and wiping on the countertop.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,False,4,2,9,Pick up the dustpan_0 inside the cabinet_0,4,0,0.0,"['Broom at countertop', 'Rag at countertop', 'Bin at countertop', 'Dustpan at countertop']",2,Failed parsing,"['Pick up the rag_0 inside the cabinet_0', 'Pick up the dustpan_0 inside the cabinet_0', 'Pick up the broom_0 next to the blender_0', 'Place at the countertop_0']"
Cleaning tools on countertop,I want all utensils for sweeping and wiping where I prepare the food.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,False,4,2,9,Pick up the dustpan_0 inside the cabinet_0,4,0,0.0,"['Broom at countertop', 'Rag at countertop', 'Bin at countertop', 'Dustpan at countertop']",3,Failure,"['Pick up the rag_0 inside the cabinet_0', 'Pick up the dustpan_0 inside the cabinet_0', 'Pick up the broom_0 next to the blender_0', 'Place at the countertop_0']"
"Broom, blender on countertop",Put broom and blender on the countertop.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,False,3,2,5,Pick up the blender next to the broom,2,0,0.0,"['Broom at countertop', 'Blender at countertop']",1,No valid target,"['Pick up the broom next to the blender', 'Pick up the blender next to the broom', 'Place at the countertop in front of the robot']"
"Broom, blender on countertop",Put all utensils that are not inside furniture on the countertop.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,False,4,3,5,Pick up the blender next to the broom,2,1,0.5,['Blender at countertop'],2,No valid target,"['Pick up the broom next to the blender', 'Place at the countertop', 'Pick up the blender next to the broom', 'Place at the countertop']"
"Broom, blender on countertop",Pick up what shouldn't be on the floor and put on the countertop.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,False,10,2,5,Pick up the rag_0,2,0,0.0,"['Broom at countertop', 'Blender at countertop']",3,Failure,"['Pick up the soap_0', 'Pick up the rag_0', 'Pick up the dustpan_0', 'Pick up the broom_0', 'Pick up the blender_0', 'Pick up the casserole_0', 'Pick up the plate_0', 'Pick up the vegetable_oil_0', 'Pick up the apple_0', 'Place at the countertop_0']"
Empty fridge,"Remove the plate, casserole, apple, and vegetable oil from the fridge.",MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,False,5,1,9,Pick up the plate inside the electric_refrigerator_0,4,0,0.0,"['Plate removed', 'Casserole removed', 'Vegetable oil removed', 'Apple removed.']",1,Failure,"['Pick up the plate inside the electric_refrigerator_0', 'Pick up the casserole inside the electric_refrigerator_0', 'Pick up the apple inside the electric_refrigerator_0', 'Pick up the vegetable_oil inside the electric_refrigerator_0', 'Place at the countertop_0']"
