question,answer,type,difficulty,raw_parsing,pred_answer,seed
How many robots are there?,1,COUNT,1,"count(Object, lambda x: robot(x))",1,123544
How many dusty things are there?,1,COUNT,1,"count(Object, lambda x: dusty(x))",2,123544
How many objects are in front of the robot?,6,COUNT,1,"count(Object, lambda x: infront(x, iota(Object, lambda y: robot(y))))",7,123544
How many white objects are inside cabinets?,3,COUNT,2,"count(Object, lambda x: white(x) and exists(Object, lambda y: cabinet(y) and inside(x, y)))",3,123544
How many bins are in the same room as the robot?,1,COUNT,2,"count(Object, lambda x: bin(x) and insameroom(x, iota(Object, lambda y: robot(y))))",1,123544
How many rags are next to the dustpan? ,1,COUNT,2,"count(Object, lambda x: rag(x) and exists(Object, lambda y: dustpan(y) and nextto(x, y)))",1,123544
How many white soaps are inside a cabinet? ,1,COUNT,3,"count(Object, lambda x: white(x) and soap(x) and inside(x, iota(Object, lambda y: cabinet(y))))",1,123544
How many sinks are next to a plate and next to a bin? ,1,COUNT,3,"count(Object, lambda x: sink(x) and exists(Object, lambda y: plate(y) and nextto(x, y)) and exists(Object, lambda z: bin(z) and nextto(x, z)))",1,123544
How many white cleaning tools are in the same room as the robot? ,2,COUNT,3,"count(Object, lambda x: white(x) and cleaningtool(x) and sameroom(x, iota(Object, lambda y: robot(y))))",,123544
Is there a broom?,yes,BOOL,1,"exists(Object, lambda x: broom(x))",yes,123544
Is there a cleaning tool?,yes,BOOL,1,"exists(Object, lambda x: cleaningtool(x))",yes,123544
Is there a sink?,yes,BOOL,1,"exists(Object, lambda x: sink(x))",yes,123544
Is there a frozen apple?,yes,BOOL,2,"exists(Object, lambda x: frozen(x) and apple(x))",yes,123544
Is there a vegetable oil inside the fridge?,yes,BOOL,2,"exists(Object, lambda x: vegetable_oil(x) and inside(x, iota(Object, lambda y: fridge(y))))",,123544
Is there a bin in front of the robot?,yes,BOOL,2,"exists(Object, lambda x: bin(x) and infront(x, iota(Object, lambda y: robot(y))))",yes,123544
