command,raw_parsing,output,Reason,reward,task_done,task_number,difficulty,step_number
Pick up the broom_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: broom_0(y))))",Success,,0,False,0,1,0
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,,0,False,0,1,1
Pick up the broom next to the blender,"execute(Action, lambda x: pick(x, iota(Object, lambda y: broom(y) and nextto(y, iota(Object, lambda z: blender(z))))))",Success,,0,False,0,2,0
Place at the cabinet at the same location as the soap,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet(y) and atsamelocation(y, iota(Object, lambda z: soap(z))))))",Success,,0,False,0,2,1
Pick up the broom next to the blender,"execute(Action, lambda x: pick(x, iota(Object, lambda y: broom(y) and nextto(y, iota(Object, lambda z: blender(z))))))",Success,,0,False,0,3,0
Place at the cabinet at the same location as the soap,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet(y) and atsamelocation(y, iota(Object, lambda z: soap(z))))))",Success,,0,False,0,3,1
Pick up the broom next to the blender,"execute(Action, lambda x: pick(x, iota(Object, lambda y: broom(y) and nextto(y, iota(Object, lambda z: blender(z))))))",Success,,0,False,1,1,0
Pick up the rag on top of the cabinet,"execute(Action, lambda x: pick(x, iota(Object, lambda y: rag(y) and ontop(y, iota(Object, lambda z: cabinet(z))))))",No valid target,,0,False,1,1,1
Pick up the rag_0 inside the cabinet_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: rag_0(y) and inside(y, iota(Object, lambda z: cabinet_0(z))))))",Success,,0,False,1,2,0
Pick up the soap_0 inside the cabinet_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: soap(y) and inside(y, iota(Object, lambda z: cabinet(z))))))",Failure,,0,False,1,2,1
Pick up the rag_0 inside the cabinet_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: rag_0(y) and inside(y, iota(Object, lambda z: cabinet_0(z))))))",Success,,0,False,1,3,0
Pick up the dustpan_0 inside the cabinet_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: dustpan_0(y) and inside(y, iota(Object, lambda z: cabinet_0(z))))))",Failure,,0,False,1,3,1
Pick up the broom next to the blender,"execute(Action, lambda x: pick(x, iota(Object, lambda y: broom(y) and nextto(y, iota(Object, lambda z: blender(z))))))",Success,,0,False,2,1,0
Pick up the blender next to the broom,"execute(Action, lambda x: pick(x, iota(Object, lambda y: blender(y) and nextto(y, iota(Object, lambda z: broom(z))))))",No valid target,,0,False,2,1,1
Pick up the broom next to the blender,"execute(Action, lambda x: pick(x, iota(Object, lambda y: broom(y) and nextto(y, iota(Object, lambda z: blender(z))))))",Success,,0,False,2,2,0
Place at the countertop_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: countertop_0(y))))",Success,,0,False,2,2,1
Pick up the blender next to the broom,"execute(Action, lambda x: pick(x, iota(Object, lambda y: blender(y) and nextto(y, iota(Object, lambda z: broom(z))))))",No valid target,,0,False,2,2,2
Pick up the soap_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: soap_0(y))))",Success,,0,False,2,3,0
Pick up the rag_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: rag_0(y))))",Failure,,0,False,2,3,1
Pick up the plate inside the electric_refrigerator_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: plate(y) and inside(y, iota(Object, lambda z: electric_refrigerator_0(z))))))",Failure,,0,False,3,1,0
Pick up the casserole inside the electric_refrigerator_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: casserole(y) and inside(y, iota(Object, lambda z: electric_refrigerator_0(z))))))",Failure,,0,False,3,2,0
Pick up the casserole inside the electric_refrigerator_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: casserole(y) and inside(y, iota(Object, lambda z: electric_refrigerator_0(z))))))",Failure,,0,False,3,3,0
Pick up the vegetable oil inside the electric refrigerator,"execute(Action, lambda x: pick(x, iota(Object, lambda y: vegetable_oil(y) and inside(y, iota(Object, lambda z: electric_refrigerator(z))))))",Success,,0,False,4,1,0
Pick up the plate inside the electric refrigerator,"execute(Action, lambda x: pick(x, iota(Object, lambda y: plate(y) and inside(y, iota(Object, lambda z: electric_refrigerator(z))))))",Failure,,0,False,4,1,1
Pick up the casserole inside the electric_refrigerator_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: casserole(y) and inside(y, iota(Object, lambda z: electric_refrigerator_0(z))))))",Failure,,0,False,4,2,0
Pick up the casserole inside the electric_refrigerator_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: casserole(y) and inside(y, iota(Object, lambda z: electric_refrigerator_0(z))))))",Failure,,0,False,4,3,0
Pick up the necklace_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: necklace_0(y))))",Success,,0,False,5,1,0
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,,0,False,5,1,1
Pick up the white necklace on the floor,"execute(Action, lambda x: pick(x, iota(Object, lambda y: necklace(y) and white(y) and onfloor(y))))",Success,,0,False,5,2,0
Place at the table at the same location as the notebook,"execute(Action, lambda x: place(x, iota(Object, lambda y: table(y) and atsamelocation(y, iota(Object, lambda z: notebook(z))))))",Success,,0,False,5,2,1
Pick up the white necklace on the floor,"execute(Action, lambda x: pick(x, iota(Object, lambda y: necklace(y) and white(y) and onfloor(y))))",Success,,0,False,5,3,0
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,,0,False,5,3,1
Pick up the sock next to table_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock(y) and nextto(y, iota(Object, lambda z: table_1(z))))))",Success,,0,False,6,1,0
Pick up the sock on top of sofa_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock(y) and ontop(y, iota(Object, lambda z: sofa_0(z)))))",Failed parsing,braces,0,False,6,1,1
Pick up the gym_shoe_0 next to the cabinet_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: gym_shoe_0(y) and nextto(y, iota(Object, lambda z: cabinet_0(z))))))",Success,,0,False,6,2,0
Pick up the sock_0 on the sofa_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock_0(y) and on(y, iota(Object, lambda z: sofa_0(z))))))",Failed parsing,on,0,False,6,2,1
Pick up the gym_shoe_0 next to the cabinet_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: gym_shoe_0(y) and nextto(y, iota(Object, lambda z: cabinet_0(z))))))",Success,,0,False,6,3,0
Pick up the sock_0 on the sofa_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock_0(y) and on(y, iota(Object, lambda z: sofa_0(z))))))",Failed parsing,on,0,False,6,3,1
Pick up the sock next to table_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock(y) and nextto(y, iota(Object, lambda z: table_1(z))))))",Success,,0,False,7,1,0
Pick up the sock on sofa_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock(y) and on(y, iota(Object, lambda z: sofa_0(z))))))",Failed parsing,on,0,False,7,1,1
Pick up the gym_shoe_0 next to the cabinet_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: gym_shoe_0(y) and nextto(y, iota(Object, lambda z: cabinet_0(z))))))",Success,,0,False,7,2,0
Pick up the sock_0 on the sofa_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock_0(y) and on(y, iota(Object, lambda z: sofa_0(z))))))",Failed parsing,on,0,False,7,2,1
Pick up the gym_shoe_0 on the floor next to cabinet_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: gym_shoe_0(y) and onfloor(y) and nextto(y, iota(Object, lambda z: cabinet_0(z))))))",Success,,0,False,7,3,0
Pick up the sock_0 on the floor next to sofa_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock_0(y) and onfloor(y) and nextto(y, iota(Object, lambda z: sofa_0(z))))))",No valid target,,0,False,7,3,1
Pick up the notebook on the table_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: notebook(y) and on(y, iota(Object, lambda z: table_1(z))))))",Failed parsing,on,0,False,8,1,0
Pick up the notebook_0 under the table_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: notebook_0(y) and under(y, iota(Object, lambda z: table_1(z))))))",Success,,0,False,8,2,0
Place at the table_0 at the same location as the sofa_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y) and atsamelocation(y, iota(Object, lambda z: sofa_0(z))))))",Success,,0,False,8,2,1
Pick up the notebook_0 under the table_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: notebook_0(y) and under(y, iota(Object, lambda z: table_1(z))))))",Success,,0,False,8,3,0
Place at the table_0 at the same location as the table,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y) and atsamelocation(y, iota(Object, lambda z: table(z))))))",Failure,,0,False,8,3,1
Pick up the sock next to table_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock(y) and nextto(y, iota(Object, lambda z: table_1(z))))))",Success,,0,False,9,1,0
Pick up the sock on top of sofa_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock(y) and ontop(y, iota(Object, lambda z: sofa_0(z)))))",Failed parsing,braces,0,False,9,1,1
Pick up the gym_shoe_0 next to the cabinet_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: gym_shoe_0(y) and nextto(y, iota(Object, lambda z: cabinet_0(z))))))",Success,,0,False,9,2,0
Pick up the sock_0 next to the sofa_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock_0(y) and nextto(y, iota(Object, lambda z: sofa_0(z))))))",No valid target,,0,False,9,2,1
Pick up the gym_shoe_0 next to the cabinet_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: gym_shoe_0(y) and nextto(y, iota(Object, lambda z: cabinet_0(z))))))",Success,,0,False,9,3,0
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,,0,False,9,3,1
Pick up the necklace_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: necklace_0(y))))",Success,,0,False,9,3,2
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,,0,False,9,3,3
Pick up the notebook_0 under the table_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: notebook_0(y) and under(y, iota(Object, lambda z: table_1(z))))))",Success,,0,False,9,3,4
Place at the table_1,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_1(y))))",Success,,0,False,9,3,5
Pick up the sock_0 on the sofa_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock_0(y) and on(y, iota(Object, lambda z: sofa_0(z))))))",Failed parsing,on,0,False,9,3,6
Pick up the sock next to table_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock(y) and nextto(y, iota(Object, lambda z: table_1(z))))))",Success,,0,False,10,1,0
Pick up the sock on top of sofa_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock(y) and ontop(y, iota(Object, lambda z: sofa_0(z)))))",Failed parsing,braces,0,False,10,1,1
Pick up the gym_shoe_0 next to the cabinet_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: gym_shoe_0(y) and nextto(y, iota(Object, lambda z: cabinet_0(z))))))",Success,,0,False,10,2,0
Pick up the necklace_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: necklace_0(y))))",Failure,,0,False,10,2,1
Pick up the gym_shoe_0 next to the cabinet_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: gym_shoe_0(y) and nextto(y, iota(Object, lambda z: cabinet_0(z))))))",Success,,0,False,10,3,0
Pick up the necklace_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: necklace_0(y))))",Failure,,0,False,10,3,1
Pick up the white marker_0 on the chair_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker(y) and white(y) and on(y, iota(Object, lambda z: chair(z))))))",Failed parsing,on,0,False,11,1,0
Pick up the white marker at the same location as the chair,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker(y) and white(y) and atsamelocation(y, iota(Object, lambda z: chair(z))))))",Success,,0,False,11,2,0
Place at the table at the same location as the documents,"execute(Action, lambda x: place(x, iota(Object, lambda y: table(y) and atsamelocation(y, iota(Object, lambda z: document(z))))))",Success,,0,False,11,2,1
Pick up the white marker at the same location as the chair,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker(y) and white(y) and atsamelocation(y, iota(Object, lambda z: chair(z))))))",Success,,0,False,11,3,0
Place at the table at the same location as the documents,"execute(Action, lambda x: place(x, iota(Object, lambda y: table(y) and atsamelocation(y, iota(Object, lambda z: document(z))))))",Success,,0,False,11,3,1
Pick up the document_0 on the table_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_0(y) and on(y, iota(Object, lambda z: table_0(z))))))",Failed parsing,on,0,False,12,1,0
Pick up document_0 on the table_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_0(y) and on(y, iota(Object, lambda z: table_0(z))))))",Failed parsing,on,0,False,12,2,0
Pick up document_0 on the table_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_0(y) and on(y, iota(Object, lambda z: table_0(z))))))",Failed parsing,on,0,False,12,3,0
Pick up the document_1 inside the cabinet_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_1(y) and inside(y, iota(Object, lambda z: cabinet_0(z))))))",No valid target,,0,False,13,1,0
Pick up the marker_0 on the chair_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker_0(y) and on(y, iota(Object, lambda z: chair_0(z))))))",Failed parsing,on,0,False,13,2,0
Pick up the marker_0 on the chair_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker_0(y) and on(y, iota(Object, lambda z: chair_0(z))))))",Failed parsing,on,0,False,13,3,0
Pick up the marker_0 on the chair_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker_0(y) and on(y, iota(Object, lambda z: chair_0(z))))))",Failed parsing,on,0,False,14,1,0
Pick up the white marker on the chair_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: white(y) and marker(y) and on(y, iota(Object, lambda z: chair_0(z))))))",Failed parsing,on,0,False,14,2,0
Pick up the marker_0 on the chair_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker_0(y) and on(y, iota(Object, lambda z: chair_0(z))))))",Failed parsing,on,0,False,14,3,0
Pick up the marker_0 on the chair_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker_0(y) and on(y, iota(Object, lambda z: chair_0(z))))))",Failed parsing,on,0,False,15,1,0
Pick up the white marker at the same location as the chair,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker(y) and white(y) and atsamelocation(y, iota(Object, lambda z: chair(z))))))",Success,,0,False,15,2,0
Place at the table at the same location as the documents,"execute(Action, lambda x: place(x, iota(Object, lambda y: table(y) and atsamelocation(y, iota(Object, lambda z: document(z))))))",Success,,0,False,15,2,1
