title,mission,env,all_steps,num_planned_steps,num_steps_completed,max_steps,failed_step,success_conds,passing_conds,success_rate,failed_conds,prompt_difficulty,final_output,plan
Broom in cabinet,Place the broom inside the cabinet.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,True,2,2,3,,1,1,1.0,[],1,Success,"['Pick up the broom_0', 'Place at the cabinet_0']"
Broom in cabinet,Place the sweeping tool into the cabinet.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,True,2,2,3,,1,1,1.0,[],2,Success,"['Pick up the broom_0', 'Place at the cabinet_0']"
Broom in cabinet,Put the sweeping tool away.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,True,2,2,3,,1,1,1.0,[],3,Success,"['Pick up the broom_0', 'Place at the cabinet_0']"
Cleaning tools on countertop,"Place broom, rag, bin, and dustpan on the countertop.",MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,False,8,5,9,Pick up the bin_0,4,2,0.5,"['Bin at countertop', 'Dustpan at countertop']",1,Type of action cannot be performed,"['Pick up the broom_0', 'Place at the countertop_0', 'Pick up the rag_0', 'Place at the countertop_0', 'Pick up the bin_0', 'Place at the countertop_0', 'Pick up the dustpan_0', 'Place at the countertop_0']"
Cleaning tools on countertop,Place all utensils for sweeping and wiping on the countertop.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,True,6,6,9,,4,3,0.75,['Bin at countertop'],2,Success,"['Pick up the broom_0', 'Place at the countertop_0', 'Pick up the rag_0', 'Place at the countertop_0', 'Pick up the dustpan_0', 'Place at the countertop_0']"
Cleaning tools on countertop,I want all utensils for sweeping and wiping where I prepare the food.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,True,6,6,9,,4,0,0.0,"['Broom at countertop', 'Rag at countertop', 'Bin at countertop', 'Dustpan at countertop']",3,Success,"['Pick up the broom_0', 'Place at the electric_refrigerator_0', 'Pick up the dustpan_0', 'Place at the electric_refrigerator_0', 'Pick up the rag_0', 'Place at the electric_refrigerator_0']"
"Broom, blender on countertop",Put broom and blender on the countertop.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,True,4,4,5,,2,2,1.0,[],1,Success,"['Pick up the broom_0', 'Place at the countertop_0', 'Pick up the blender_0', 'Place at the countertop_0']"
"Broom, blender on countertop",Put all utensils that are not inside furniture on the countertop.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,True,4,4,5,,2,2,1.0,[],2,Success,"['Pick up the broom_0', 'Place at the countertop_0', 'Pick up the blender_0', 'Place at the countertop_0']"
"Broom, blender on countertop",Pick up what shouldn't be on the floor and put on the countertop.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,False,14,7,5,Pick up the casserole_0,2,0,0.0,"['Broom at countertop', 'Blender at countertop']",3,Couldn't be reached,"['Pick up the soap_0', 'Place at the countertop_0', 'Pick up the rag_0', 'Place at the countertop_0', 'Pick up the dustpan_0', 'Place at the countertop_0', 'Pick up the casserole_0', 'Place at the countertop_0', 'Pick up the plate_0', 'Place at the countertop_0', 'Pick up the vegetable_oil_0', 'Place at the countertop_0', 'Pick up the apple_0', 'Place at the countertop_0']"
Empty fridge,"Remove the plate, casserole, apple, and vegetable oil from the fridge.",MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,False,8,1,9,Pick up the plate_0 inside the electric_refrigerator_0,4,0,0.0,"['Plate removed', 'Casserole removed', 'Vegetable oil removed', 'Apple removed.']",1,Couldn't be reached,"['Pick up the plate_0 inside the electric_refrigerator_0', 'Place at the countertop_0', 'Pick up the casserole_0 inside the electric_refrigerator_0', 'Place at the countertop_0', 'Pick up the apple_0 inside the electric_refrigerator_0', 'Place at the countertop_0', 'Pick up the vegetable_oil_0 inside the electric_refrigerator_0', 'Place at the countertop_0']"
Empty fridge,Remove all items from inside the fridge.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,False,8,1,9,Pick up the casserole inside the electric refrigerator,4,0,0.0,"['Plate removed', 'Casserole removed', 'Vegetable oil removed', 'Apple removed.']",2,Couldn't be reached,"['Pick up the casserole inside the electric refrigerator', 'Place at the bin at the same location as the electric refrigerator', 'Pick up the plate inside the electric refrigerator', 'Place at the bin at the same location as the electric refrigerator', 'Pick up the vegetable oil inside the electric refrigerator', 'Place at the bin at the same location as the electric refrigerator', 'Pick up the apple inside the electric refrigerator', 'Place at the bin at the same location as the electric refrigerator']"
Empty fridge,Clear out the fridge.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,False,8,1,9,Pick up the casserole inside the electric refrigerator,4,0,0.0,"['Plate removed', 'Casserole removed', 'Vegetable oil removed', 'Apple removed.']",3,Couldn't be reached,"['Pick up the casserole inside the electric refrigerator', 'Place at the bin at the same location as the electric refrigerator', 'Pick up the plate inside the electric refrigerator', 'Place at the bin at the same location as the electric refrigerator', 'Pick up the vegetable oil inside the electric refrigerator', 'Place at the bin at the same location as the electric refrigerator', 'Pick up the apple inside the electric refrigerator', 'Place at the bin at the same location as the electric refrigerator']"
"Swap contents of fridge, cabinet","Place the vegetable oil, plate, casserole, and apple on the countertop. Then place the soap, rag, and dustpan in the fridge. Then place the oil, plate, casserole, and apple in the cabinet.",MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,False,16,2,15,Place at the countertop in the same room as the robot,7,0,0.0,"['Plate swapped.', 'Casserole swapped.', 'Vegetable oil swapped', 'Apple swapped', 'Soap swapped', 'Rag swapped', 'Dustpan swapped']",1,Failed parsing,"['Pick up the vegetable oil inside the electric refrigerator', 'Place at the countertop in the same room as the robot', 'Pick up the plate inside the electric refrigerator', 'Place at the countertop in the same room as the robot', 'Pick up the casserole inside the electric refrigerator', 'Place at the countertop in the same room as the robot', 'Pick up the apple inside the electric refrigerator', 'Place at the countertop in the same room as the robot', 'Pick up the soap inside the cabinet', 'Place at the electric refrigerator in the same room as the robot', 'Pick up the rag on top of the cabinet', 'Place at the electric refrigerator in the same room as the robot', 'Pick up the dustpan inside the cabinet', 'Place at the electric refrigerator in the same room as the robot', 'Pick up the vegetable oil on the countertop', 'Place at the cabinet next to the electric refrigerator']"
"Swap contents of fridge, cabinet","Place all the contents of the fridge on the countertop, then all contents of the cabinet in the fridge, and then the items from the countertop in the cabinet.",MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,False,21,1,15,Pick up the casserole inside the electric refrigerator,7,0,0.0,"['Plate swapped.', 'Casserole swapped.', 'Vegetable oil swapped', 'Apple swapped', 'Soap swapped', 'Rag swapped', 'Dustpan swapped']",2,Couldn't be reached,"['Pick up the casserole inside the electric refrigerator', 'Place at the countertop', 'Pick up the plate inside the electric refrigerator', 'Place at the countertop', 'Pick up the vegetable oil inside the electric refrigerator', 'Place at the countertop', 'Pick up the apple inside the electric refrigerator', 'Place at the countertop', 'Pick up the soap inside the cabinet', 'Place at the electric refrigerator', 'Pick up the rag inside the cabinet', 'Place at the electric refrigerator', 'Pick up the dustpan inside the cabinet', 'Place at the electric refrigerator', 'Pick up the casserole on the countertop', 'Place at the cabinet', 'Pick up the plate on the countertop', 'Place at the cabinet', 'Pick up the vegetable oil on the countertop', 'Place at the cabinet', 'Pick up the apple on the countertop']"
"Swap contents of fridge, cabinet",Swap the contents of the fridge and the cabinet.,MiniGrid-CleaningUpTheKitchenOnly-16x16-N2-v0,False,14,1,15,Pick up the casserole inside the electric refrigerator_0,7,0,0.0,"['Plate swapped.', 'Casserole swapped.', 'Vegetable oil swapped', 'Apple swapped', 'Soap swapped', 'Rag swapped', 'Dustpan swapped']",3,Couldn't be reached,"['Pick up the casserole inside the electric refrigerator_0', 'Place at the cabinet_1', 'Pick up the plate inside the electric refrigerator_0', 'Place at the cabinet_1', 'Pick up the vegetable_oil inside the electric refrigerator_0', 'Place at the cabinet_1', 'Pick up the apple inside the electric refrigerator_0', 'Place at the cabinet_1', 'Pick up the rag inside the cabinet_0', 'Place at the electric_refrigerator_0', 'Pick up the soap inside the cabinet_0', 'Place at the electric_refrigerator_0', 'Pick up the dustpan inside the cabinet_0', 'Place at the electric_refrigerator_0']"
Necklace on table,Place the necklace on the table.,MiniGrid-CollectMisplacedItems-16x16-N2-v0,True,2,2,3,,1,1,1.0,[],1,Success,"['Pick up the necklace_0', 'Place at the table_1']"
Necklace on table,Put any jewelry on the table.,MiniGrid-CollectMisplacedItems-16x16-N2-v0,True,2,2,3,,1,1,1.0,[],2,Success,"['Pick up the white necklace on the floor', 'Place at the table at the same location as the notebook']"
Necklace on table,Jewelry shouldn't be on the floor!,MiniGrid-CollectMisplacedItems-16x16-N2-v0,True,2,2,3,,1,0,0.0,['Necklace on table'],3,Success,"['Pick up the white necklace_0', 'Place at the cabinet_0']"
